; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingmat
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1985    2          1       len1      len84 3.29802e-10
1985    2          1       len1      len88 6.43443e-09
1985    2          1       len1      len92 1.06552e-07
1985    2          1       len1      len96 1.49814e-06
1985    2          1       len1     len100 1.78899e-05
1985    2          1       len1     len104 0.000181484
1985    2          1       len1     len108 0.00156439
1985    2          1       len1     len112  0.0114608
1985    2          1       len1     len116  0.0713718
1985    2          1       len1     len120   0.377879
1985    2          1       len1     len124    1.70121
1985    2          1       len1     len128     6.5133
1985    2          1       len1     len132    21.2097
1985    2          1       len1     len136    58.7497
1985    2          1       len1     len140    138.439
1985    2          1       len1     len144    277.547
1985    2          1       len1     len148    473.451
1985    2          1       len1     len152     687.24
1985    2          1       len1     len156    848.923
1985    3          1       len1      len20          0
1985    3          1       len1      len24          0
1985    3          1       len1      len28          0
1985    3          1       len1      len32          0
1985    3          1       len1      len36          0
1985    3          1       len1      len40          0
1985    3          1       len1      len44          0
1985    3          1       len1      len48          0
1985    3          1       len1      len52          0
1985    3          1       len1      len56          0
1985    3          1       len1      len60          0
1985    3          1       len1      len64          0
1985    3          1       len1      len68          0
1985    3          1       len1      len72          0
1985    3          1       len1      len76          0
1985    3          1       len1      len80          0
1985    3          1       len1      len84          0
1985    3          1       len1      len88 3.21721e-10
1985    3          1       len1      len92 5.3276e-09
1985    3          1       len1      len96 7.49069e-08
1985    3          1       len1     len100 8.94493e-07
1985    3          1       len1     len104 9.07419e-06
1985    3          1       len1     len108 7.82193e-05
1985    3          1       len1     len112 0.000573039
1985    3          1       len1     len116 0.00356859
1985    3          1       len1     len120   0.018894
1985    3          1       len1     len124  0.0850607
1985    3          1       len1     len128   0.325665
1985    3          1       len1     len132    1.06048
1985    3          1       len1     len136    2.93748
1985    3          1       len1     len140    6.92197
1985    3          1       len1     len144    13.8774
1985    3          1       len1     len148    23.6726
1985    3          1       len1     len152     34.362
1985    3          1       len1     len156    42.4461
1985    4          1       len1      len20          0
1985    4          1       len1      len24          0
1985    4          1       len1      len28          0
1985    4          1       len1      len32          0
1985    4          1       len1      len36          0
1985    4          1       len1      len40          0
1985    4          1       len1      len44          0
1985    4          1       len1      len48          0
1985    4          1       len1      len52          0
1985    4          1       len1      len56          0
1985    4          1       len1      len60          0
1985    4          1       len1      len64          0
1985    4          1       len1      len68          0
1985    4          1       len1      len72          0
1985    4          1       len1      len76          0
1985    4          1       len1      len80          0
1985    4          1       len1      len84          0
1985    4          1       len1      len88          0
1985    4          1       len1      len92 2.6638e-10
1985    4          1       len1      len96 3.74535e-09
1985    4          1       len1     len100 4.47247e-08
1985    4          1       len1     len104 4.5371e-07
1985    4          1       len1     len108 3.91097e-06
1985    4          1       len1     len112 2.86519e-05
1985    4          1       len1     len116 0.000178429
1985    4          1       len1     len120 0.000944699
1985    4          1       len1     len124 0.00425303
1985    4          1       len1     len128  0.0162833
1985    4          1       len1     len132  0.0530242
1985    4          1       len1     len136   0.146874
1985    4          1       len1     len140   0.346098
1985    4          1       len1     len144   0.693868
1985    4          1       len1     len148    1.18363
1985    4          1       len1     len152     1.7181
1985    4          1       len1     len156    2.12231
1986    1          1       len1      len20          0
1986    1          1       len1      len24          0
1986    1          1       len1      len28          0
1986    1          1       len1      len32          0
1986    1          1       len1      len36          0
1986    1          1       len1      len40          0
1986    1          1       len1      len44          0
1986    1          1       len1      len48          0
1986    1          1       len1      len52          0
1986    1          1       len1      len56          0
1986    1          1       len1      len60          0
