; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingimm
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1987    3          1       len1      len24          0
1987    3          1       len1      len28          0
1987    3          1       len1      len32          0
1987    3          1       len1      len36          0
1987    3          1       len1      len40          0
1987    3          1       len1      len44          0
1987    3          1       len1      len48          0
1987    3          1       len1      len52          0
1987    3          1       len1      len56          0
1987    3          1       len1      len60          0
1987    3          1       len1      len64          0
1987    3          1       len1      len68          0
1987    3          1       len1      len72          0
1987    3          1       len1      len76          0
1987    3          1       len1      len80          0
1987    3          1       len1      len84          0
1987    3          1       len1      len88 3.71811e-08
1987    3          1       len1      len92          0
1987    3          1       len1      len96          0
